Client_ID,Status,Days_To_First_Engagement,Days_To_First_Engagement_Num,Completed_Flag,Churned_Flag,Checkin_Rate_Pct,Goal_Achieved,Goal_Achieved_Flag,Engagement_Threshold_Group
C0001,Completed,3,3,1,0,100.0,Partial,1,Engaged Within 3 Days
C0002,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0003,Completed,3,3,1,0,78.6,Partial,1,Engaged Within 3 Days
C0004,Completed,5,5,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0005,Ghost,0,0,0,1,0.0,No,0,Engaged Within 3 Days
C0006,Completed,1,1,1,0,100.0,Partial,1,Engaged Within 3 Days
C0007,Ghost,5,5,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0008,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0009,Completed,0,0,1,0,85.7,Partial,1,Engaged Within 3 Days
C0010,Inactive,0,0,0,1,14.3,Ongoing,0,Engaged Within 3 Days
C0011,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0012,Completed,2,2,1,0,85.7,Partial,1,Engaged Within 3 Days
C0013,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0014,Completed,2,2,1,0,100.0,Yes,1,Engaged Within 3 Days
C0015,Completed,1,1,1,0,92.9,Yes,1,Engaged Within 3 Days
C0016,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0017,Completed,0,0,1,0,100.0,Partial,1,Engaged Within 3 Days
C0018,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0019,Completed,3,3,1,0,92.9,Yes,1,Engaged Within 3 Days
C0020,Completed,5,5,1,0,78.6,Partial,1,Did Not Engage Within 3 Days
C0021,Inactive,0,0,0,1,21.4,Ongoing,0,Engaged Within 3 Days
C0022,Ghost,999,999,0,1,0.0,No,0,Did Not Engage Within 3 Days
C0023,Completed,3,3,1,0,78.6,Partial,1,Engaged Within 3 Days
C0024,Quit,2,2,0,1,14.3,No,0,Engaged Within 3 Days
C0025,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0026,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0027,Completed,1,1,1,0,92.9,Partial,1,Engaged Within 3 Days
C0028,Completed,0,0,1,0,92.9,Yes,1,Engaged Within 3 Days
C0029,Completed,1,1,1,0,100.0,Partial,1,Engaged Within 3 Days
C0030,Completed,7,7,1,0,100.0,Yes,1,Did Not Engage Within 3 Days
C0031,Inactive,7,7,0,1,28.6,Ongoing,0,Did Not Engage Within 3 Days
C0032,Completed,3,3,1,0,85.7,Yes,1,Engaged Within 3 Days
C0033,Completed,3,3,1,0,85.7,Yes,1,Engaged Within 3 Days
C0034,Completed,2,2,1,0,78.6,Partial,1,Engaged Within 3 Days
C0035,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0036,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0037,Completed,3,3,1,0,85.7,Partial,1,Engaged Within 3 Days
C0038,Completed,2,2,1,0,78.6,Yes,1,Engaged Within 3 Days
C0039,Completed,2,2,1,0,92.9,Yes,1,Engaged Within 3 Days
C0040,Completed,1,1,1,0,85.7,Partial,1,Engaged Within 3 Days
C0041,Completed,0,0,1,0,78.6,Yes,1,Engaged Within 3 Days
C0042,Quit,2,2,0,1,21.4,No,0,Engaged Within 3 Days
C0043,Ghost,999,999,0,1,7.1,No,0,Did Not Engage Within 3 Days
C0044,Completed,1,1,1,0,78.6,Partial,1,Engaged Within 3 Days
C0045,Completed,0,0,1,0,78.6,Partial,1,Engaged Within 3 Days
