Client_ID,Age,Gender,Country,Goal_Type,Lead_Source,Goal_Achieved,Checkin_Rate_Pct,Progress_Photos_Shared,Second_Round,Referred_Someone,Goal_Achieved_Score,Checkin_Score,Progress_Photos_Score,Second_Round_Score,Referral_Score,Superfan_Score,Superfan_Score_Rounded,Superfan_Segment
C0001,24,Female,USA,Body Transformation,Other,Partial,100.0,Yes,No,0,1,2.0,1,0,0,4.0,4,Neutral
C0002,30,Female,USA,Body Transformation,Instagram,No,7.1,Yes,No,0,0,0.14,1,0,0,1.14,1,At Risk
C0003,19,Female,USA,Weight Loss,TikTok,Partial,78.6,Yes,No,1,1,1.57,1,0,2,5.57,6,Happy
C0004,22,Female,Australia,Weight Loss,TikTok,Yes,100.0,Yes,No,1,3,2.0,1,0,2,8.0,8,Superfan
C0005,31,Male,USA,Weight Loss,TikTok,No,0.0,No,No,1,0,0.0,0,0,2,2.0,2,At Risk
C0006,30,Female,UAE,Weight Loss,TikTok,Partial,100.0,Yes,No,1,1,2.0,1,0,2,6.0,6,Happy
C0007,52,Male,USA,Weight Loss,Referral,No,7.1,No,No,0,0,0.14,0,0,0,0.14,0,At Risk
C0008,25,Female,Canada,Body Transformation,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0009,28,Female,Australia,Body Transformation,Referral,Partial,85.7,Yes,Yes,0,1,1.71,1,2,0,5.71,6,Happy
C0010,23,Male,Australia,Body Transformation,TikTok,Ongoing,14.3,No,No,1,0,0.29,0,0,2,2.29,2,At Risk
C0011,27,Female,USA,Body Transformation,TikTok,No,7.1,No,Yes,1,0,0.14,0,2,2,4.14,4,Neutral
C0012,29,Female,Nepal,Weight Loss,Referral,Partial,85.7,Yes,No,1,1,1.71,1,0,2,5.71,6,Happy
C0013,30,Male,Other,Weight Loss,Instagram,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0014,43,Female,Nepal,Weight Loss,Instagram,Yes,100.0,Yes,No,1,3,2.0,1,0,2,8.0,8,Superfan
C0015,48,Male,Australia,Weight Loss,Referral,Yes,92.9,No,No,1,3,1.86,0,0,2,6.86,7,Happy
C0016,22,Male,USA,Weight Gain,Referral,No,0.0,No,No,0,0,0.0,0,0,0,0.0,0,At Risk
C0017,26,Female,USA,Body Transformation,TikTok,Partial,100.0,Yes,No,0,1,2.0,1,0,0,4.0,4,Neutral
C0018,26,Female,USA,Weight Loss,TikTok,Partial,78.6,Yes,No,1,1,1.57,1,0,2,5.57,6,Happy
C0019,35,Female,Australia,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0020,30,Female,Australia,Weight Loss,TikTok,Partial,78.6,No,No,1,1,1.57,0,0,2,4.57,5,Neutral
C0021,23,Female,Canada,Weight Loss,Instagram,Ongoing,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0022,38,Female,USA,Body Transformation,TikTok,No,0.0,No,No,1,0,0.0,0,0,2,2.0,2,At Risk
C0023,28,Female,USA,Body Transformation,Instagram,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0024,37,Male,UAE,Weight Loss,TikTok,No,14.3,No,Yes,0,0,0.29,0,2,0,2.29,2,At Risk
C0025,21,Female,Australia,Weight Loss,TikTok,Yes,78.6,No,No,0,3,1.57,0,0,0,4.57,5,Neutral
C0026,45,Male,Australia,Body Transformation,TikTok,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0027,30,Female,Canada,Weight Gain,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0028,30,Female,Australia,Weight Gain,TikTok,Yes,92.9,Yes,No,1,3,1.86,1,0,2,7.86,8,Happy
C0029,31,Female,Australia,Body Transformation,TikTok,Partial,100.0,Yes,No,0,1,2.0,1,0,0,4.0,4,Neutral
C0030,30,Male,Canada,Body Transformation,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0031,24,Male,USA,Weight Loss,TikTok,Ongoing,28.6,No,No,1,0,0.57,0,0,2,2.57,3,At Risk
C0032,26,Female,Nepal,Weight Gain,TikTok,Yes,85.7,No,No,0,3,1.71,0,0,0,4.71,5,Neutral
C0033,42,Female,Australia,Weight Loss,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0034,30,Female,Australia,Weight Loss,TikTok,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0035,51,Male,Australia,Weight Loss,TikTok,Yes,78.6,Yes,No,1,3,1.57,1,0,2,7.57,8,Happy
C0036,18,Female,Australia,Weight Loss,Referral,Yes,92.9,Yes,Yes,1,3,1.86,1,2,2,9.86,10,Superfan
C0037,22,Male,Australia,Weight Gain,Instagram,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0038,46,Female,Nepal,Weight Loss,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0039,21,Female,Australia,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0040,46,Female,Other,Body Transformation,TikTok,Partial,85.7,Yes,No,1,1,1.71,1,0,2,5.71,6,Happy
C0041,26,Female,USA,Weight Loss,Referral,Yes,78.6,Yes,Yes,0,3,1.57,1,2,0,7.57,8,Happy
C0042,25,Female,UAE,Weight Gain,Instagram,No,21.4,Yes,Yes,0,0,0.43,1,2,0,3.43,3,Neutral
C0043,42,Male,Other,Weight Gain,Referral,No,7.1,No,No,0,0,0.14,0,0,0,0.14,0,At Risk
C0044,25,Female,USA,Body Transformation,TikTok,Partial,78.6,Yes,No,1,1,1.57,1,0,2,5.57,6,Happy
C0045,29,Male,Nepal,Weight Loss,TikTok,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0046,26,Female,Australia,Body Transformation,TikTok,Yes,92.9,No,No,0,3,1.86,0,0,0,4.86,5,Neutral
C0047,51,Female,Nepal,Body Transformation,TikTok,Yes,85.7,No,No,0,3,1.71,0,0,0,4.71,5,Neutral
C0048,45,Male,Australia,Weight Loss,Instagram,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0049,28,Female,Australia,Weight Loss,Other,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0050,36,Female,Australia,Weight Loss,TikTok,Yes,78.6,Yes,No,1,3,1.57,1,0,2,7.57,8,Happy
C0051,37,Male,Australia,Weight Gain,Instagram,No,0.0,No,No,0,0,0.0,0,0,0,0.0,0,At Risk
C0052,28,Female,Australia,Weight Gain,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0053,29,Female,USA,Weight Loss,TikTok,No,0.0,Yes,No,0,0,0.0,1,0,0,1.0,1,At Risk
C0054,35,Female,Australia,Weight Loss,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0055,26,Male,Nepal,Body Transformation,Other,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0056,48,Female,USA,Weight Loss,TikTok,No,7.1,No,No,1,0,0.14,0,0,2,2.14,2,At Risk
C0057,19,Female,USA,Weight Loss,TikTok,Yes,85.7,Yes,No,0,3,1.71,1,0,0,5.71,6,Happy
C0058,46,Female,Australia,Weight Gain,Referral,Yes,78.6,Yes,Yes,1,3,1.57,1,2,2,9.57,10,Superfan
C0059,33,Female,Nepal,Weight Loss,Other,Partial,100.0,No,No,0,1,2.0,0,0,0,3.0,3,Neutral
C0060,29,Female,USA,Weight Loss,Referral,Partial,92.9,Yes,Yes,0,1,1.86,1,2,0,5.86,6,Happy
C0061,30,Female,USA,Weight Loss,Other,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0062,32,Female,Nepal,Weight Loss,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0063,27,Female,Australia,Weight Gain,TikTok,No,7.1,No,Yes,0,0,0.14,0,2,0,2.14,2,At Risk
C0064,27,Female,USA,Weight Loss,Referral,Yes,78.6,Yes,Yes,0,3,1.57,1,2,0,7.57,8,Happy
C0065,28,Female,Australia,Weight Loss,TikTok,Partial,92.9,Yes,No,0,1,1.86,1,0,0,3.86,4,Neutral
C0066,18,Female,Other,Body Transformation,TikTok,No,7.1,No,Yes,0,0,0.14,0,2,0,2.14,2,At Risk
C0067,37,Female,USA,Weight Loss,Instagram,No,21.4,No,No,0,0,0.43,0,0,0,0.43,0,At Risk
C0068,28,Male,Australia,Weight Loss,TikTok,Partial,78.6,No,No,0,1,1.57,0,0,0,2.57,3,At Risk
C0069,38,Female,Australia,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0070,22,Female,Canada,Weight Loss,TikTok,Yes,78.6,Yes,No,0,3,1.57,1,0,0,5.57,6,Happy
C0071,31,Male,USA,Weight Loss,TikTok,Yes,92.9,No,No,0,3,1.86,0,0,0,4.86,5,Neutral
C0072,27,Female,USA,Weight Gain,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0073,36,Male,Australia,Weight Loss,TikTok,No,0.0,No,Yes,1,0,0.0,0,2,2,4.0,4,Neutral
C0074,57,Male,Canada,Body Transformation,TikTok,No,0.0,No,No,0,0,0.0,0,0,0,0.0,0,At Risk
C0075,31,Female,USA,Weight Loss,Referral,Yes,100.0,Yes,No,1,3,2.0,1,0,2,8.0,8,Superfan
C0076,34,Female,USA,Body Transformation,TikTok,Partial,85.7,Yes,No,0,1,1.71,1,0,0,3.71,4,Neutral
C0077,33,Male,USA,Weight Gain,Other,Ongoing,35.7,No,No,0,0,0.71,0,0,0,0.71,1,At Risk
C0078,48,Male,USA,Weight Loss,TikTok,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0079,31,Male,USA,Weight Loss,Instagram,Yes,92.9,Yes,No,0,3,1.86,1,0,0,5.86,6,Happy
C0080,31,Female,Nepal,Weight Loss,TikTok,Yes,100.0,Yes,No,0,3,2.0,1,0,0,6.0,6,Happy
C0081,31,Male,USA,Weight Gain,TikTok,Partial,78.6,Yes,No,0,1,1.57,1,0,0,3.57,4,Neutral
C0082,51,Female,Australia,Body Transformation,TikTok,Yes,92.9,Yes,No,1,3,1.86,1,0,2,7.86,8,Happy
C0083,39,Female,USA,Weight Loss,TikTok,Partial,92.9,Yes,No,1,1,1.86,1,0,2,5.86,6,Happy
C0084,18,Female,Australia,Body Transformation,TikTok,Yes,85.7,Yes,No,1,3,1.71,1,0,2,7.71,8,Happy
