Payment_Month,Lead_Source,Client_Count,Revenue_USD
2022-01-01,Instagram,4,1200
2022-01-01,Other,1,300
2022-01-01,Referral,8,2250
2022-01-01,TikTok,23,6600
2022-02-01,Instagram,4,1125
2022-02-01,Other,1,225
2022-02-01,Referral,7,1950
2022-02-01,TikTok,18,5175
2022-03-01,Instagram,12,3525
2022-03-01,Other,1,300
2022-03-01,Referral,8,2400
2022-03-01,TikTok,25,7125
2022-04-01,Instagram,5,1500
2022-04-01,Other,3,750
2022-04-01,Referral,10,2850
2022-04-01,TikTok,29,8325
2022-05-01,Instagram,10,2925
2022-05-01,Other,1,300
2022-05-01,Referral,9,2625
2022-05-01,TikTok,12,3450
2022-06-01,Instagram,7,2025
2022-06-01,Other,1,300
2022-06-01,Referral,12,3375
2022-06-01,TikTok,15,4275
2022-07-01,Instagram,9,2550
2022-07-01,Other,3,825
2022-07-01,Referral,7,2100
2022-07-01,TikTok,29,8475
2022-08-01,Instagram,6,1725
2022-08-01,Other,3,900
2022-08-01,Referral,12,3300
2022-08-01,TikTok,15,4275
2022-09-01,Instagram,5,1500
2022-09-01,Referral,5,1500
2022-09-01,TikTok,20,5550
2022-10-01,Instagram,7,2100
2022-10-01,Other,1,300
2022-10-01,Referral,10,2700
2022-10-01,TikTok,15,4050
2022-11-01,Instagram,7,2025
2022-11-01,Referral,4,1200
2022-11-01,TikTok,21,5850
2022-12-01,Instagram,17,4950
2022-12-01,Other,1,300
2022-12-01,Referral,10,3000
2022-12-01,TikTok,17,4875
2023-01-01,Instagram,15,4125
2023-01-01,Other,5,1500
2023-01-01,Referral,21,6075
2023-01-01,TikTok,47,13275
2023-02-01,Instagram,8,2400
2023-02-01,Other,4,1125
2023-02-01,Referral,23,6750
2023-02-01,TikTok,44,12450
2023-03-01,Instagram,12,3450
2023-03-01,Other,7,1875
2023-03-01,Referral,31,8775
2023-03-01,TikTok,37,10650
2023-04-01,Instagram,24,6750
2023-04-01,Other,3,900
2023-04-01,Referral,24,7050
2023-04-01,TikTok,43,12000
2023-05-01,Instagram,13,3675
2023-05-01,Other,3,900
2023-05-01,Referral,28,8025
2023-05-01,TikTok,51,14775
2023-06-01,Instagram,5,1500
2023-06-01,Other,2,600
2023-06-01,Referral,31,9000
2023-06-01,TikTok,45,12975
2023-07-01,Instagram,6,1725
2023-07-01,Other,2,525
2023-07-01,Referral,20,5700
2023-07-01,TikTok,40,11700
2023-08-01,Instagram,11,3150
2023-08-01,Other,3,900
2023-08-01,Referral,21,5850
2023-08-01,TikTok,44,12900
2023-09-01,Instagram,14,4050
2023-09-01,Other,1,225
2023-09-01,Referral,17,4875
2023-09-01,TikTok,42,11775
2023-10-01,Instagram,7,2025
2023-10-01,Other,6,1725
2023-10-01,Referral,16,4425
2023-10-01,TikTok,44,12450
2023-11-01,Instagram,13,3525
2023-11-01,Other,4,1200
2023-11-01,Referral,14,4125
2023-11-01,TikTok,50,14175
2023-12-01,Instagram,5,1425
2023-12-01,Other,5,1500
2023-12-01,Referral,21,6000
2023-12-01,TikTok,43,12225
2024-01-01,Instagram,21,5775
2024-01-01,Other,6,1725
2024-01-01,Referral,38,10950
2024-01-01,TikTok,66,18975
2024-02-01,Instagram,23,6375
2024-02-01,Other,4,1125
2024-02-01,Referral,40,11475
2024-02-01,TikTok,69,19500
2024-03-01,Instagram,16,4425
2024-03-01,Other,5,1500
2024-03-01,Referral,29,8325
2024-03-01,TikTok,79,22950
2024-04-01,Instagram,22,6300
2024-04-01,Other,5,1425
2024-04-01,Referral,33,9300
2024-04-01,TikTok,77,21825
2024-05-01,Instagram,18,5025
2024-05-01,Other,7,2100
2024-05-01,Referral,35,9900
2024-05-01,TikTok,70,19950
2024-06-01,Instagram,19,5550
2024-06-01,Other,4,1200
2024-06-01,Referral,35,10125
2024-06-01,TikTok,68,19350
2024-07-01,Instagram,29,8475
2024-07-01,Other,8,2175
2024-07-01,Referral,32,8925
2024-07-01,TikTok,64,18675
2024-08-01,Instagram,22,6225
2024-08-01,Other,4,975
2024-08-01,Referral,29,8475
2024-08-01,TikTok,76,22125
2024-09-01,Instagram,23,6675
2024-09-01,Other,7,1950
2024-09-01,Referral,26,7350
2024-09-01,TikTok,72,20250
2024-10-01,Instagram,25,7350
2024-10-01,Other,8,2250
2024-10-01,Referral,37,10575
2024-10-01,TikTok,76,21900
2024-11-01,Instagram,15,4200
2024-11-01,Other,8,2100
2024-11-01,Referral,39,11025
2024-11-01,TikTok,58,16125
2024-12-01,Instagram,17,4875
2024-12-01,Other,11,3150
2024-12-01,Referral,30,8775
2024-12-01,TikTok,70,19725
